Main filter,Sub filter,Sr No,University,Course
Humanities and Social Sciences,-,1,Paderborn University,Applied Neurosciences in Sports and Exercise
Humanities and Social Sciences,-,2,Paderborn University,Applied Sports Science
Humanities and Social Sciences,-,3,Paderborn University,BeNeLux Studies
Humanities and Social Sciences,-,4,Paderborn University,Comparative Theology of Religions
Humanities and Social Sciences,-,5,Paderborn University,Education
Humanities and Social Sciences,-,6,Paderborn University,Education
Humanities and Social Sciences,-,7,Paderborn University,Gender Studies
Humanities and Social Sciences,-,8,Paderborn University,Sociology
Humanities and Social Sciences,-,9,Paderborn University,Theology in Dialogue
Humanities and Social Sciences,-,10,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,-,11,Catholic University of Applied Sciences North-Rhine Westphalia,Applied Theology
Humanities and Social Sciences,-,12,Catholic University of Applied Sciences North-Rhine Westphalia,Childhood Pedagogy dual
Humanities and Social Sciences,-,13,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,-,14,Catholic University of Applied Sciences North-Rhine Westphalia,"Social Work, degree programme with vocational and academic elements"
Humanities and Social Sciences,"Pedagogy, Educational Sciences",1,Paderborn University,Education
Humanities and Social Sciences,"Pedagogy, Educational Sciences",2,Paderborn University,Education
Humanities and Social Sciences,"Pedagogy, Educational Sciences",3,Catholic University of Applied Sciences North-Rhine Westphalia,Childhood Pedagogy dual
Humanities and Social Sciences,"Pedagogy, Educational Sciences > Children's Education",1,Catholic University of Applied Sciences North-Rhine Westphalia,Childhood Pedagogy dual
Humanities and Social Sciences,"Pedagogy, Educational Sciences > Pedagogy, Educational Science",1,Paderborn University,Education
Humanities and Social Sciences,"Pedagogy, Educational Sciences > Pedagogy, Educational Science",2,Paderborn University,Education
Humanities and Social Sciences,Political Sciences,1,Paderborn University,BeNeLux Studies
Humanities and Social Sciences,Political Sciences > International Relations,1,Paderborn University,BeNeLux Studies
Humanities and Social Sciences,"Social Work, Curative Pedagogy",1,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy",2,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy",3,Catholic University of Applied Sciences North-Rhine Westphalia,"Social Work, degree programme with vocational and academic elements"
Humanities and Social Sciences,"Social Work, Curative Pedagogy > Social Work",1,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy > Social Work",2,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy > Social Work",3,Catholic University of Applied Sciences North-Rhine Westphalia,"Social Work, degree programme with vocational and academic elements"
Humanities and Social Sciences,Social Sciences,1,Paderborn University,Gender Studies
Humanities and Social Sciences,Social Sciences,2,Paderborn University,Sociology
Humanities and Social Sciences,Social Sciences > Gender Studies,1,Paderborn University,Gender Studies
Humanities and Social Sciences,"Social Sciences > Sociology, Social Science",1,Paderborn University,Gender Studies
Humanities and Social Sciences,"Social Sciences > Sociology, Social Science",2,Paderborn University,Sociology
Humanities and Social Sciences,Sport,1,Paderborn University,Applied Neurosciences in Sports and Exercise
Humanities and Social Sciences,Sport,2,Paderborn University,Applied Sports Science
Humanities and Social Sciences,Sport > Sport,1,Paderborn University,Applied Sports Science
Humanities and Social Sciences,Sport > Sport Science,1,Paderborn University,Applied Neurosciences in Sports and Exercise
Humanities and Social Sciences,"Theology, Religion",1,Paderborn University,Comparative Theology of Religions
Humanities and Social Sciences,"Theology, Religion",2,Paderborn University,Theology in Dialogue
Humanities and Social Sciences,"Theology, Religion",3,Catholic University of Applied Sciences North-Rhine Westphalia,Applied Theology
Humanities and Social Sciences,"Theology, Religion > Catholic Religious Pedagogy",1,Catholic University of Applied Sciences North-Rhine Westphalia,Applied Theology
Humanities and Social Sciences,"Theology, Religion > Religious Studies",1,Paderborn University,Theology in Dialogue
Humanities and Social Sciences,"Theology, Religion > Theology",1,Paderborn University,Comparative Theology of Religions
Humanities and Social Sciences,"Theology, Religion > Theology",2,Paderborn University,Theology in Dialogue
Engineering Sciences,-,1,Paderborn University,Additive Manufacturing
Engineering Sciences,-,2,Paderborn University,Chemical Engineering
Engineering Sciences,-,3,Paderborn University,Chemical Engineering
Engineering Sciences,-,4,Paderborn University,Computer Engineering
Engineering Sciences,-,5,Paderborn University,Electrical engineering
Engineering Sciences,-,6,Paderborn University,Electrical engineering
Engineering Sciences,-,7,Paderborn University,Electrical Systems Engineering
Engineering Sciences,-,8,Paderborn University,Industrial engineering
Engineering Sciences,-,9,Paderborn University,Industrial engineering
Engineering Sciences,-,10,Paderborn University,Materials Science
Engineering Sciences,-,11,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,-,12,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,-,13,Paderborn University,Technological mathematics
Engineering Sciences,"Chemical Engineering, Process Technology",1,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology",2,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology > Chemical Engineering",1,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology > Chemical Engineering",2,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology > Process Technology",1,Paderborn University,Chemical Engineering
