Sr No,Filter path,University,Course,Matched term
1,"Art, Music, Design -> Design -> Design",Hof University of Applied Sciences,Artificial Intelligence Aided Mobility Design,Artificial Intelligence
2,"Art, Music, Design -> Design -> Design",University of Europe for Applied Sciences,Generative Design & AI,AI
3,"Art, Music, Design -> Musicology, Music Pedagogy -> Musicology",University of Hildesheim,Future Analytics: AI & Audio Worlds,AI
4,"Economic Sciences, Law -> Economic Sciences -> Business Administration","Allensbach University of Applied Sciences Konstanz, state-recognised university of the European Education Group GmbH",Business Management,Business Administration
5,"Economic Sciences, Law -> Economic Sciences -> Business Administration","Allensbach University of Applied Sciences Konstanz, state-recognised university of the European Education Group GmbH",Master of Business Administration General Management (MBA),Business Administration
6,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Anhalt University of Applied Sciences,International Trade,Business Administration
7,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Ansbach University of Applied Sciences,International Product and Service Management,Business Administration
8,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Augsburg University of Applied Sciences,International Business and Finance,Business Administration
9,"Economic Sciences, Law -> Economic Sciences -> Business Administration",BSP Business and Law School,Business Administration,Business Administration
10,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Bamberg University,Strategy & Sustainability,Business Administration
11,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin International University of Applied Sciences,Business Administration | International Management & Marketing,Business Administration
12,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin International University of Applied Sciences,Data Science & Business,Business Administration
13,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin International University of Applied Sciences,Master of Business Administration | MBA,Business Administration
14,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Applied Sciences (HTW),MBA&E Life Science Management,Business Administration
15,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,Business Management - Digital Business Management,Business Administration
16,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,Business Management - Green Energy and Climate Finance,Business Administration
17,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,"FACT( Finance, Accounting, Controlling and Taxation)",Business Administration
18,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,Global Supply Chain and Operations Management,Business Administration
19,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,International Business & Consulting: Human Resource Management,Business Administration
20,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,International Business & Consulting: Strategic Management,Business Administration
21,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin School of Economics and Law,International Finance,Business Administration
22,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Berlin University of Technology,"Innovation management, entrepreneurship and sustainability (IMES)",Business Administration
23,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Bielefeld University of Applied Sciences and Arts (HSBI),Industrial Engineering,Business Administration
24,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Bielefeld University of Applied Sciences and Arts (HSBI),Industrial Engineering (practice-integrated),Business Administration
25,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Bielefeld University of Applied Sciences and Arts (HSBI),International Business Management,Business Administration
26,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Bremerhaven University of Applied Sciences,International Tourism Management,Business Administration
27,"Economic Sciences, Law -> Economic Sciences -> Business Administration",Bucerius Law School,Bucerius Master of Law and Business (LLM/MLB),Business Administration
28,"Economic Sciences, Law -> Economic Sciences -> Business Administration",CBS University of Applied Sciences,Business Psychology & Management,Business Administration
29,"Economic Sciences, Law -> Economic Sciences -> Business Administration",CBS University of Applied Sciences,Digital Marketing,Business Administration
30,"Economic Sciences, Law -> Economic Sciences -> Business Administration",CBS University of Applied Sciences,Global Finance,Business Administration
31,"Economic Sciences, Law -> Economic Sciences -> Business Administration",CBS University of Applied Sciences,International Business,Business Administration
