rank,fit,verdict,type,university,course,degree,universityCity,universityState,domainHits,focus,feePerYear,admissionSemester,admissionModus,detailUrl
"1","80","APPLY","University","Bamberg University","International Software Systems Science","Master of Science, Master","Bamberg","Bavaria","Computer Science","Distributed and Mobile Software Systems, Service-Oriented Software Architectures, Software Analysis and Verification, Communication Systems and Protocols","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bamberg-university-international-software-systems-science-w49047/?hec-id=w49047"
"2","80","APPLY","TU","Brandenburgische Technische Universität Cottbus-Senftenberg","Mathematical Data Science","Master of Science, Master","Cottbus","Brandenburg","Mathematics, Media Informatics, Artificial Intelligence, Data Science","Non-convex Optimization, Numerical Simulation, Numerical Linear Algebra, Stochastic Processes, High-dimensional Statistics, Graph Theory, Neural Networks, Distributed Computing, Cryptography, Information Retrieval","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/brandenburgische-technische-universitaet-cottbus-senftenberg-mathematical-data-science-w72710/?hec-id=w72710"
"3","80","APPLY","University","Chemnitz University of Technology","Automotive Software Engineering","Master of Science, Master","Chemnitz","Saxony","Software Engineering","Automotive Software Technology, Embedded Systems, Real-time and Communication Systems, Computer Science","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-automotive-software-engineering-w21156/?hec-id=w21156"
"4","80","APPLY","University","Chemnitz University of Technology","Web Engineering","Master of Science, Master","Chemnitz","Saxony","Computer Science, Software Engineering","Principles of Database Systems, Semantic Web, Modern Data and Information Access Methods, Software Engineering, Web-based Distributed Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-web-engineering-w49156/?hec-id=w49156"
"5","80","APPLY","Hochschule","Fachhochschule of Erfurt","Software Engineering","Master, Master","Erfurt","Thuringia","Engineering Informatics","Enterprise Projects, Research Projects","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fachhochschule-of-erfurt-software-engineering-w77852/?hec-id=w77852"
"6","80","APPLY","Hochschule","Frankfurt University of Applied Sciences","High Integrity Systems","Master of Science, Master","Frankfurt am Main","Hessen","Software Engineering, Computer Engineering","Software Engineering, System Modelling, Advanced Testing, Data Integrity","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-of-applied-sciences-high-integrity-systems-w9362/?hec-id=w9362"
"7","80","APPLY","University","Paderborn University","Computer Science","Master of Science, Master","Paderborn","North Rhine-Westphalia","Computer Science","Distributed Systems, Networks","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/paderborn-university-computer-science-w7683/?hec-id=w7683"
"8","80","APPLY","TU","Rhineland-Palatinate Technical University of Kaiserslautern-Landau","Computer Science","Master of Science, Master","Kaiserslautern","Rhineland-Palatinate","Computer Science","Algorithms, Information Systems, Communication Systems, Embedded Systems, Computer Graphics and Visualisation, Intelligent Systems, Robotics, Software Engineering, Verification","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-computer-science-w12519/?hec-id=w12519"
"9","80","APPLY","TU","Rhineland-Palatinate Technical University of Kaiserslautern-Landau","Social Informatics","Master of Science, Master","Kaiserslautern","Rhineland-Palatinate","Computer Science","Data Science, Embedded Systems and Robotics, Software Engineering, Information Systems, Intelligent Systems, Distributed and Networked Systems, Visualization and Scientific Computing, AI Ethics","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-social-informatics-w42527/?hec-id=w42527"
"10","80","APPLY","University","Ruhr University Bochum","Computer Science","Master of Science, Master","Bochum","North Rhine-Westphalia","Artificial Intelligence, Data Science","Design and Analysis of Computer Systems, Algorithms, Computer Security, Software Engineering, Programming Languages, Artificial Intelligence, Complexity, Data Science","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-computer-science-w74171/?hec-id=w74171"
